Artis Hottness,Duration,Artist Familiarity,Tempo
4.946570768667194473e-01,2.023553212844407483e+02,5.238182316447890230e-01,9.768028787655902079e+01
4.581665308819172777e-01,2.128299265389845516e+02,5.651557306424450644e-01,7.509623155132746319e+01
5.369204964672523728e-01,1.695349696081731565e+02,6.865553023488004669e-01,1.221756890117631542e+02
3.006163113537705933e-01,1.857670162385454660e+02,3.561010676458593593e-01,1.384723103094524390e+02
4.579375299351273743e-01,2.335099749142515577e+02,4.815461852918900831e-01,1.005331984597401629e+02
3.143792775371813120e-01,5.429430019282528974e+02,6.022347992071033218e-01,1.086311032381194082e+02
4.388106528655728034e-01,-3.376396420402195508e+04,7.700668131422645502e-01,1.772339017477802372e+02
9.104522623084726485e-02,3.626946783673221262e+02,6.861364994531129469e-01,1.723714667475367150e+02
3.226963426605652940e-01,2.307936343282545693e+02,7.269223791525334377e-01,1.238544187255203610e+02
4.522339231876567611e-01,1.931397812749898719e+02,5.311174130276157257e-01,1.136056154612031719e+02
6.024358493416067661e-01,2.083353880167792909e+02,5.944472094755894886e-01,1.175739288931767987e+02
-1.588924513396834826e+00,2.106236784013255487e+02,1.096050489499418745e+00,9.554441611471014539e+01
3.767273085982191239e-01,1.284558403807508853e+02,6.661054029185748959e-01,9.449482765211894275e+01
4.523379646872434656e-01,2.350080212845473682e+02,7.317059034029327336e-01,1.836823969771693328e+02
1.487019136051876134e-01,4.728762671744603949e+02,9.813930368555361383e-01,9.525652375086906432e+01
4.126779792063306473e-01,4.367361888521870696e+02,8.472942930668594386e-01,1.113617829999449214e+02
3.420983726767828914e-01,2.553933764229296912e+02,4.099141950729219275e-01,1.466396852913321140e+02
3.571489009105263124e-01,2.227205831512428915e+02,7.282061379169704196e-01,5.954822659625648384e+01
5.808330601128450787e-01,1.988666323530725890e+02,9.428704464893016279e-01,1.406995883040247008e+02
4.080168937855537248e-01,3.304125199205460603e+02,4.103533864266779574e-01,8.399397608638022916e+01
4.684828009318858788e-01,2.392327855548287801e+02,7.035385665499021002e-01,1.072455637819230105e+02
3.606384211059290301e-01,-1.647981281598802298e+03,3.680382194860030154e-01,1.292170447285786281e+02
7.769632162031931966e-01,2.481102789848222017e+02,5.571749645968182563e-01,9.288013461988032304e+01
3.072122921064148748e-01,2.429735936978455868e+02,4.937742385254253463e-01,1.525199908593596092e+02
2.706751321936127219e-01,2.203404964635973897e+02,5.241772842001921617e-01,1.457625843251358333e+02
4.070333063505610638e-01,2.556432200551293192e+02,4.877389787826587053e-01,1.536501731655980052e+02
4.956452978081195559e-01,2.162337085197782756e+02,4.826175446351541609e-01,9.709859926180951106e+01
4.568043650032890257e-01,2.313915586522225283e+02,5.050579341046486093e-01,1.253875092240518825e+02
3.118680086915990302e-01,2.636946994853382762e+02,5.571729120904365118e-01,6.759811311915376564e+01
4.678149905398163999e-01,2.805590625499060593e+02,6.247724098315714514e-01,1.438729319028902864e+02
5.114735666375995748e-01,1.829578506969219518e+02,6.391438491132035438e-01,1.267761617237169389e+02
4.182757642886549276e-01,2.577514065435599377e+02,7.914308449710460991e-01,8.665373776814021767e+01
4.907545508607434326e-01,5.067490018903856708e+01,5.861798020053043956e-01,1.298149123685880113e+02
2.923737864172985534e-01,2.521406860896307478e+02,6.191913948070109086e-01,1.199168692940915548e+02
4.809326829391114000e-01,1.280984382983326668e+02,4.855965492723584020e-01,1.489850878096302722e+02
5.171153219701944970e-01,2.455671754543554073e+02,9.512719572792462941e-01,1.619905824968072352e+02
2.829014466191764332e-01,2.919755847679974750e+02,5.473908166691572319e-01,1.299486095108541122e+02
4.945718800069979770e-01,4.692116455998569791e+01,5.429375996245937586e-01,1.215104292584070436e+02
4.164906680696639496e-01,2.110028119759212188e+02,5.853122120934131090e-01,1.283593066719879516e+02
4.034063996757684678e-01,5.486730545723389696e+02,8.265568735772106379e-01,1.160246581015385914e+02
4.992309054716168593e-01,1.872329607256801580e+02,6.552846497512021529e-01,1.018785578898888389e+02
4.383944536791876123e-01,2.017193319958454651e+02,5.525820946582982174e-01,1.988000354674296091e+02
4.100633865454572091e-01,2.247322637195153447e+02,7.764654274577722504e-01,1.050205646512296198e+02
4.741033917187310043e-01,2.669955220192754837e+02,7.505588546367718550e-01,1.458123802625503913e+02
3.786283165361032932e-01,2.260119344488334150e+02,3.261487013735333562e-01,2.059762772365444903e+02
5.558154505763803765e-01,2.945086862441822859e+02,4.491517421545765387e-01,7.620666890726951692e+01
3.434729619205891815e-01,4.458999482763579749e+02,5.834648865820568631e-01,6.763476542751220677e+01
